event_id,ticker,catalyst_type,catalyst_date,indication_text,is_cns,status
1000417,OLMA,Phase3,2026-11-30,OP-1250 (palazestrant) (CER antagonist) ,0,upcoming
1000418,PHVS,PDUFA,2027-04-23,Deucrictibant immediate-release capsules (PHVS416),0,upcoming
1000419,CYTK,Phase3,2026-08-28,Aficamten,0,upcoming
1000420,CMPS,Other,2026-12-31,COMP360 (Psilocybin),0,upcoming
1000421,VCNX,Phase1/2,2026-07-13,Pepinemab,0,upcoming
1000422,ACIU,Phase1,2026-07-15,ACI-19626 (TDP-43-PET tracer),0,upcoming
1000423,AGIO,PDUFA,2026-11-01,PYRUKYND (Mitapivat),0,upcoming
1000424,ARQT,PDUFA,2027-02-23,ZORYVE® (ARQ-151) topical roflumilast cream 0.05%,0,upcoming
1000425,IMNM,PDUFA,2027-04-28,Varegacestat (Gamma Secretase Inhibitor),0,upcoming
1000426,VXRT,Phase2,2027-12-31,VXA-CoV2-1 oral pill,0,upcoming
1000427,IONS,Phase3,2026-08-15,Eplontersen (AKCEA-TTR-LRx) ,0,upcoming
1000428,QTTB,Phase3,2027-06-30,Bempikibart (ADX-914) ,0,upcoming
1000429,BMY,PDUFA,2027-05-13,Mezigdomide (CELMoD Modulator),0,upcoming
1000430,ALGS,Phase2,2027-09-30,Pevifoscorvir sodium (ALG-000184),0,upcoming
1000431,ALKS,Phase2,2026-12-31,ALKS 2680 (RDC-264177),0,upcoming
1000432,ENLV,Phase2,2027-06-30,Allocetra (Immunotherapy),0,upcoming
1000433,KURA,Phase1,2026-07-24,KO-2806 +cabozantinib,0,upcoming
1000434,PMN,Phase1,2026-09-30,PMN310,0,upcoming
1000435,GUTS,Phase2,2026-11-15,Revita,0,upcoming
1000436,MANE,Phase2/3,2027-06-30,Minoxidil (VDPHL01) (Potassium Channel Opener),0,upcoming
1000437,FDMT,Phase2,2026-07-18,4D-150,0,upcoming
1000438,IDYA,Phase2,2026-10-23,Darovasertib ,0,upcoming
1000439,IDYA,Phase2,2026-10-23,Darovasertib (IDE196) + crizotinib ,0,upcoming
1000440,IDYA,Phase1,2026-10-23,IDE849 (SHR-4849),0,upcoming
1000441,EVAX,Phase2,2026-10-24,EVX-01 + pembrolizumab,0,upcoming
1000442,MRK,Phase2,2026-07-29,Islatravir (MK-8591) + Ulonivirine (MK-8507) (Reverse Transcriptase Inhibition),0,upcoming
1000443,MRK,Phase3,2026-07-29,Islatravir (MK-8591) + Lenacapavir (GS-6207) (Reverse Transcriptase/Capsid Inhibition),0,upcoming
1000444,MRK,Phase3,2026-07-29,Doravirine/Islatravir (MK-8591) (Reverse Transcriptase Inhibitor),0,upcoming
1000445,AXSM,PDUFA,2027-05-01,AXS-12 (reboxetine) (NE reuptake inhibitor) ,0,upcoming
1000446,MOLN,Phase2,2027-12-31,MP0317 + Durvalumab + SoC,0,upcoming
1000447,IDYA,Phase2/3,2026-10-23,Darovasertib (IDE196) + crizotinib,0,upcoming
1000448,ANL,Phase1,2027-06-30,AN9025 (Pan-RAS Inhibitor),0,upcoming
1000449,ALNY,Phase2,2028-12-31,Mivelsiran (ALN-APP) ,0,upcoming
1000450,OSTX,Phase2,2026-08-31,OST-HER2,0,upcoming
1000451,RFL,Phase3,2026-12-31,Trappsol® Cyclo™ (hydroxypropyl-beta-cyclodextrin),0,upcoming
1000452,VNDA,PDUFA,2026-12-12,Imsidolimab (IL-36 Inhibitor),0,upcoming
1000453,ACAD,Phase2,2026-09-30,ACP-204,0,upcoming
1000454,IMTX,Phase1,2026-10-19,TCER® IMA402 (PRAME),0,upcoming
1000455,IMTX,Phase1,2026-10-19,ACTengine® IMA203CD8  GEN2 (PRAME) ,0,upcoming
1000456,IMTX,Phase1,2026-10-19,ACTengine® IMA203CD8  GEN2 (PRAME) ,0,upcoming
1000457,IMTX,Phase1,2026-10-19,ACTengine® IMA203CD8  GEN2 (PRAME) ,0,upcoming
1000458,IMTX,Phase1,2026-10-19,IMA203CD8 (TCR Cell Therapy),0,upcoming
1000459,IMTX,Phase1,2026-10-19,ACTengine® IMA203CD8  GEN2 (PRAME) ,0,upcoming
1000460,CATX,Phase1/2,2026-10-23,[212Pb]VMT-α-NET,0,upcoming
1000461,AGEN,Phase2,2026-10-25,Botensilimab/Balstilimab (AGEN1181/AGEN2034) (CTLA-4/PD-1 Blockade),0,upcoming
1000462,BHVN,Phase1,2026-10-23,BHV-1530,0,upcoming
1000463,CMPX,Phase2/3,2026-10-24,Tovecimig  (CTX-009) (DLL4 and VEGF-A bispecific antibody),0,upcoming
1000464,AGEN,Phase1,2026-10-26,Botensilimab (AGEN1181)  + balstilimab,0,upcoming
1000465,DYN,PDUFA,2027-01-21,DYNE-251,0,upcoming
1000466,KTTA,Phase1,2026-10-23,PAS-004,0,upcoming
1000467,IPHA,Phase1,2026-12-31,IPH4502,0,upcoming
1000468,NKTR,Phase3,2028-08-15,Rezpegaldesleukin (NKTR-358),0,upcoming
1000469,CRIS,Phase2,2026-07-31,Emavusertib (CA-4948) (IRAK4/FLT3 Inhibitor),0,upcoming
1000470,ARWR,Phase3,2026-08-30,Plozasiran (ARO-APOC3) ,0,upcoming
1000471,CLDX,Phase3,2026-09-30,Barzolvolimab (CDX-0159) (KIT receptor) ,0,upcoming
1000472,BBIO,PDUFA,2027-05-08,Encaleret ,0,upcoming
1000473,GSK,PDUFA,2026-11-27,Neladalkib (NVL-655) (ALK Inhibitor),0,upcoming
1000474,PFE,PDUFA,2026-12-31,Talzenna/Talazoparib + Xtandi/Enzalutamide (BMN 673 + MDV3100) (PARP Inhibitor),0,upcoming
1000475,BEAM,Phase1/2,2026-09-08,BEAM-302,0,upcoming
1000476,MGNX,Phase1,2026-10-23,MGC026,0,upcoming
1000477,IMMP,Phase2,2026-10-19,Eftilagimod Alpha + Pembrolizumab,0,upcoming
1000478,PSTV,Phase2,2026-08-13,REYOBIQ (Rhenium Re186 Obisbemeda),0,upcoming
1000479,GMAB,Phase2/3,2026-12-31,Epkinly/Epcoritamab (GEN3013) (CD3-CD20 Bispecific) + R-CHOP,0,upcoming
1000480,AVIR,Phase3,2027-02-15,Bemnifosbuvir + Ruzasvir (RZR),0,upcoming
1000481,ARWR,Phase3,2027-08-15,Zodasiran (ARO-ANG3),0,upcoming
1000482,PYPD,PDUFA,2026-11-28,D-PLEX-100,0,upcoming
1000483,GSK,PDUFA,2026-09-18,Zidesamtinib (NVL-520),0,upcoming
1000484,IPSEY,Other,2026-12-31,Tazemetostat + rituximab + lenalidomide,0,upcoming
1000485,SXTP,Phase2,2026-10-06,Arakoda (Tafenoquine),0,upcoming
1000486,BCYC,Phase2/3,2026-12-31,"Zelenectide pevedotin (zele, formerly BT8009)",0,upcoming
1000487,APRE,Phase1,2026-12-31,APR-1051,0,upcoming
